tahun,provinsi,pdrb_miliar
2017,ACEH,145806.92
2018,ACEH,155910.98
2019,ACEH,164162.98
2020,ACEH,166372.32
2021,ACEH,184979.88
2022,ACEH,209698.36
2023,ACEH,227018.29
2024,ACEH,243202.15
2017,BALI,213035.86
2018,BALI,233636.77
2019,BALI,251934.1
2020,BALI,224225.72
2021,BALI,220466.43
2022,BALI,245367.89
2023,BALI,274382.04
2024,BALI,298439.56
2017,BANTEN,563597.7
2018,BANTEN,613804.41
2019,BANTEN,661321.34
2020,BANTEN,625895.38
2021,BANTEN,665870.3
2022,BANTEN,747220.84
2023,BANTEN,814122.03
2024,BANTEN,873626.25
2017,BENGKULU,60657.68
2018,BENGKULU,66402.99
2019,BENGKULU,72098.24
2020,BENGKULU,73305.27
2021,BENGKULU,79602.64
2022,BENGKULU,90111.95
2023,BENGKULU,96583.15
2024,BENGKULU,103991.93
2017,DI YOGYAKARTA,119128.72
2018,DI YOGYAKARTA,129818.36
2019,DI YOGYAKARTA,141047.69
2020,DI YOGYAKARTA,138117.84
2021,DI YOGYAKARTA,149413.65
2022,DI YOGYAKARTA,165724.53
2023,DI YOGYAKARTA,180746.37
2024,DI YOGYAKARTA,193561.94
2017,DKI JAKARTA,2365353.86
2018,DKI JAKARTA,2592606.57
2019,DKI JAKARTA,2815636.16
2020,DKI JAKARTA,2767273.49
2021,DKI JAKARTA,2912885.34
2022,DKI JAKARTA,3188541.22
2023,DKI JAKARTA,3443359.21
2024,DKI JAKARTA,3679708.72
2017,GORONTALO,34537.68
2018,GORONTALO,37731.39
2019,GORONTALO,41145.45
2020,GORONTALO,41729.89
2021,GORONTALO,43893.26
2022,GORONTALO,47566.29
2023,GORONTALO,51366.74
2024,GORONTALO,54559.65
2017,JAMBI,189787.72
2018,JAMBI,207878.69
2019,JAMBI,216927.71
2020,JAMBI,205081.99
2021,JAMBI,232294.15
2022,JAMBI,276936.85
2023,JAMBI,293867.57
2024,JAMBI,323174.33
2017,JAWA BARAT,1788117.36
2018,JAWA BARAT,1960627.65
2019,JAWA BARAT,2123153.71
2020,JAWA BARAT,2082107.26
2021,JAWA BARAT,2204660.23
2022,JAWA BARAT,2422782.32
2023,JAWA BARAT,2625198.63
2024,JAWA BARAT,2823451.79
2017,JAWA TENGAH,1172794.52
2018,JAWA TENGAH,1268261.17
2019,JAWA TENGAH,1360960.13
2020,JAWA TENGAH,1347222.49
2021,JAWA TENGAH,1419735.15
2022,JAWA TENGAH,1559140.36
2023,JAWA TENGAH,1695427.92
2024,JAWA TENGAH,1817710.82
2017,JAWA TIMUR,2012917.99
2018,JAWA TIMUR,2188766.35
2019,JAWA TIMUR,2345548.55
2020,JAWA TIMUR,2299807.64
2021,JAWA TIMUR,2454792.0
2022,JAWA TIMUR,2731423.63
2023,JAWA TIMUR,2953546.98
2024,JAWA TIMUR,3168295.58
2017,KALIMANTAN BARAT,177493.65
2018,KALIMANTAN BARAT,194138.22
2019,KALIMANTAN BARAT,212150.33
2020,KALIMANTAN BARAT,213950.35
2021,KALIMANTAN BARAT,231321.16
2022,KALIMANTAN BARAT,255797.28
2023,KALIMANTAN BARAT,274468.58
2024,KALIMANTAN BARAT,300166.89
2017,KALIMANTAN SELATAN,159104.56
2018,KALIMANTAN SELATAN,171684.06
2019,KALIMANTAN SELATAN,180557.64
2020,KALIMANTAN SELATAN,179162.02
2021,KALIMANTAN SELATAN,197882.42
2022,KALIMANTAN SELATAN,251098.65
2023,KALIMANTAN SELATAN,269192.02
2024,KALIMANTAN SELATAN,286840.06
2017,KALIMANTAN TENGAH,125817.07
2018,KALIMANTAN TENGAH,138616.13
2019,KALIMANTAN TENGAH,150046.1
2020,KALIMANTAN TENGAH,152187.39
2021,KALIMANTAN TENGAH,169655.94
2022,KALIMANTAN TENGAH,199741.29
2023,KALIMANTAN TENGAH,208783.35
2024,KALIMANTAN TENGAH,222864.5
2017,KALIMANTAN TIMUR,591903.49
2018,KALIMANTAN TIMUR,635498.68
2019,KALIMANTAN TIMUR,652480.26
2020,KALIMANTAN TIMUR,607744.49
2021,KALIMANTAN TIMUR,696632.67
2022,KALIMANTAN TIMUR,921450.99
2023,KALIMANTAN TIMUR,843737.89
2024,KALIMANTAN TIMUR,858193.71
2017,KALIMANTAN UTARA,76927.57
2018,KALIMANTAN UTARA,85548.94
2019,KALIMANTAN UTARA,96509.93
2020,KALIMANTAN UTARA,100423.21
2021,KALIMANTAN UTARA,111530.22
2022,KALIMANTAN UTARA,138674.96
2023,KALIMANTAN UTARA,147307.72
2024,KALIMANTAN UTARA,146976.7
2017,KEP. BANGKA BELITUNG,69865.21
2018,KEP. BANGKA BELITUNG,73113.28
2019,KEP. BANGKA BELITUNG,75794.96
2020,KEP. BANGKA BELITUNG,75519.77
2021,KEP. BANGKA BELITUNG,85961.29
2022,KEP. BANGKA BELITUNG,95286.44
2023,KEP. BANGKA BELITUNG,102526.32
2024,KEP. BANGKA BELITUNG,107503.18
2017,KEP. RIAU,227706.88
2018,KEP. RIAU,248822.23
2019,KEP. RIAU,267631.48
2020,KEP. RIAU,254095.35
2021,KEP. RIAU,275622.85
2022,KEP. RIAU,308739.72
2023,KEP. RIAU,331644.52
2024,KEP. RIAU,352436.43
2017,LAMPUNG,306700.43
2018,LAMPUNG,332446.07
2019,LAMPUNG,356676.83
2020,LAMPUNG,353025.09
2021,LAMPUNG,371198.88
2022,LAMPUNG,414119.68
2023,LAMPUNG,448819.04
2024,LAMPUNG,484042.52
2017,MALUKU,39881.55
2018,MALUKU,43047.09
2019,MALUKU,46152.82
2020,MALUKU,46263.47
2021,MALUKU,48893.68
2022,MALUKU,54078.63
2023,MALUKU,58487.79
2024,MALUKU,62647.51
2017,MALUKU UTARA,32272.57
2018,MALUKU UTARA,36468.79
2019,MALUKU UTARA,39695.49
2020,MALUKU UTARA,42298.87
2021,MALUKU UTARA,52480.52
2022,MALUKU UTARA,70902.61
2023,MALUKU UTARA,85938.16
2024,MALUKU UTARA,96949.45
2017,NUSA TENGGARA BARAT,123822.76
2018,NUSA TENGGARA BARAT,123868.02
2019,NUSA TENGGARA BARAT,132500.1
2020,NUSA TENGGARA BARAT,133613.74
2021,NUSA TENGGARA BARAT,140115.27
2022,NUSA TENGGARA BARAT,156942.67
2023,NUSA TENGGARA BARAT,166395.45
2024,NUSA TENGGARA BARAT,182265.62
2017,NUSA TENGGARA TIMUR,90758.93
2018,NUSA TENGGARA TIMUR,98930.19
2019,NUSA TENGGARA TIMUR,106731.76
2020,NUSA TENGGARA TIMUR,106482.45
2021,NUSA TENGGARA TIMUR,110881.41
2022,NUSA TENGGARA TIMUR,118722.45
2023,NUSA TENGGARA TIMUR,128525.78
2024,NUSA TENGGARA TIMUR,137458.48
2017,PAPUA,188938.08
2018,PAPUA,210600.57
2019,PAPUA,189510.7
2020,PAPUA,199186.57
2021,PAPUA,235487.47
2022,PAPUA,262519.79
2023,PAPUA,287849.35
2024,PAPUA,320822.35
2017,PAPUA BARAT,71785.93
2018,PAPUA BARAT,79644.58
2019,PAPUA BARAT,84356.97
2020,PAPUA BARAT,83588.64
2021,PAPUA BARAT,85078.49
2022,PAPUA BARAT,91302.02
2023,PAPUA BARAT,97680.94
2024,PAPUA BARAT,113217.82
2017,RIAU,704705.03
2018,RIAU,752263.07
2019,RIAU,760247.51
2020,RIAU,727599.47
2021,RIAU,839002.41
2022,RIAU,991615.38
2023,RIAU,1026472.05
2024,RIAU,1112481.62
2017,SULAWESI BARAT,39497.41
2018,SULAWESI BARAT,43457.83
2019,SULAWESI BARAT,46365.79
2020,SULAWESI BARAT,46465.91
2021,SULAWESI BARAT,50565.53
2022,SULAWESI BARAT,54028.35
2023,SULAWESI BARAT,58571.82
2024,SULAWESI BARAT,64214.65
2017,SULAWESI SELATAN,415588.2
2018,SULAWESI SELATAN,461774.74
2019,SULAWESI SELATAN,504320.73
2020,SULAWESI SELATAN,504052.53
2021,SULAWESI SELATAN,544857.14
2022,SULAWESI SELATAN,605175.94
2023,SULAWESI SELATAN,652648.09
2024,SULAWESI SELATAN,696252.76
2017,SULAWESI TENGAH,133951.16
2018,SULAWESI TENGAH,167135.77
2019,SULAWESI TENGAH,185740.09
2020,SULAWESI TENGAH,197440.78
2021,SULAWESI TENGAH,247280.35
2022,SULAWESI TENGAH,323630.28
2023,SULAWESI TENGAH,347139.01
2024,SULAWESI TENGAH,376950.32
2017,SULAWESI TENGGARA,107423.45
2018,SULAWESI TENGGARA,118066.61
2019,SULAWESI TENGGARA,129225.15
2020,SULAWESI TENGGARA,130107.27
2021,SULAWESI TENGGARA,139476.77
2022,SULAWESI TENGGARA,158800.27
2023,SULAWESI TENGGARA,176179.9
2024,SULAWESI TENGGARA,189481.75
2017,SULAWESI UTARA,110116.73
2018,SULAWESI UTARA,119512.68
2019,SULAWESI UTARA,130126.51
2020,SULAWESI UTARA,132230.06
2021,SULAWESI UTARA,142620.42
2022,SULAWESI UTARA,157039.46
2023,SULAWESI UTARA,171969.42
2024,SULAWESI UTARA,187374.29
2017,SUMATERA BARAT,213893.47
2018,SUMATERA BARAT,230367.22
2019,SUMATERA BARAT,245949.74
2020,SUMATERA BARAT,241894.13
2021,SUMATERA BARAT,253100.2
2022,SUMATERA BARAT,285375.36
2023,SUMATERA BARAT,312811.02
2024,SUMATERA BARAT,333145.84
2017,SUMATERA SELATAN,382885.7
2018,SUMATERA SELATAN,419392.16
2019,SUMATERA SELATAN,453402.71
2020,SUMATERA SELATAN,454607.4
2021,SUMATERA SELATAN,493636.85
2022,SUMATERA SELATAN,590079.43
2023,SUMATERA SELATAN,629168.67
2024,SUMATERA SELATAN,663961.72
2017,SUMATERA UTARA,684634.43
2018,SUMATERA UTARA,741347.43
2019,SUMATERA UTARA,799608.95
2020,SUMATERA UTARA,811188.31
2021,SUMATERA UTARA,859934.26
2022,SUMATERA UTARA,955193.09
2023,SUMATERA UTARA,1050995.41
2024,SUMATERA UTARA,1146919.76
