tahun,provinsi,poor_population
2017,ACEH,872610
2018,ACEH,839490
2019,ACEH,819440
2020,ACEH,814910
2021,ACEH,834240
2022,ACEH,806820
2023,ACEH,806750
2024,ACEH,804530
2017,BALI,180130
2018,BALI,171760
2019,BALI,163850
2020,BALI,165190
2021,BALI,201970
2022,BALI,205680
2023,BALI,193780
2024,BALI,184430
2017,BANTEN,675040
2018,BANTEN,661360
2019,BANTEN,654460
2020,BANTEN,775990
2021,BANTEN,867230
2022,BANTEN,814020
2023,BANTEN,826130
2024,BANTEN,791610
2017,BENGKULU,316980
2018,BENGKULU,301810
2019,BENGKULU,302300
2020,BENGKULU,302580
2021,BENGKULU,306000
2022,BENGKULU,297230
2023,BENGKULU,288460
2024,BENGKULU,281360
2017,DI YOGYAKARTA,488530
2018,DI YOGYAKARTA,460100
2019,DI YOGYAKARTA,448470
2020,DI YOGYAKARTA,475720
2021,DI YOGYAKARTA,506450
2022,DI YOGYAKARTA,454760
2023,DI YOGYAKARTA,448470
2024,DI YOGYAKARTA,445550
2017,DKI JAKARTA,389690
2018,DKI JAKARTA,373120
2019,DKI JAKARTA,365550
2020,DKI JAKARTA,480860
2021,DKI JAKARTA,501920
2022,DKI JAKARTA,502040
2023,DKI JAKARTA,477830
2024,DKI JAKARTA,464930
2017,GORONTALO,205370
2018,GORONTALO,198510
2019,GORONTALO,186030
2020,GORONTALO,185020
2021,GORONTALO,186290
2022,GORONTALO,185440
2023,GORONTALO,183710
2024,GORONTALO,177990
2017,INDONESIA,27771220
2018,INDONESIA,25949800
2019,INDONESIA,25144720
2020,INDONESIA,26424020
2021,INDONESIA,27542770
2022,INDONESIA,26161160
2023,INDONESIA,25898550
2024,INDONESIA,25219200
2017,JAMBI,286550
2018,JAMBI,281690
2019,JAMBI,274320
2020,JAMBI,277800
2021,JAMBI,293860
2022,JAMBI,279370
2023,JAMBI,280680
2024,JAMBI,265420
2017,JAWA BARAT,4168440
2018,JAWA BARAT,3615790
2019,JAWA BARAT,3399160
2020,JAWA BARAT,3920230
2021,JAWA BARAT,4195340
2022,JAWA BARAT,4070980
2023,JAWA BARAT,3888600
2024,JAWA BARAT,3848670
2017,JAWA TENGAH,4450720
2018,JAWA TENGAH,3897200
2019,JAWA TENGAH,3743230
2020,JAWA TENGAH,3980900
2021,JAWA TENGAH,4109750
2022,JAWA TENGAH,3831440
2023,JAWA TENGAH,3791500
2024,JAWA TENGAH,3704330
2017,JAWA TIMUR,4617010
2018,JAWA TIMUR,4332590
2019,JAWA TIMUR,4112250
2020,JAWA TIMUR,4419100
2021,JAWA TIMUR,4572730
2022,JAWA TIMUR,4181290
2023,JAWA TIMUR,4188810
2024,JAWA TIMUR,3982690
2017,KALIMANTAN BARAT,387430
2018,KALIMANTAN BARAT,387080
2019,KALIMANTAN BARAT,378410
2020,KALIMANTAN BARAT,366770
2021,KALIMANTAN BARAT,367890
2022,KALIMANTAN BARAT,350250
2023,KALIMANTAN BARAT,353350
2024,KALIMANTAN BARAT,336080
2017,KALIMANTAN SELATAN,193920
2018,KALIMANTAN SELATAN,189030
2019,KALIMANTAN SELATAN,192480
2020,KALIMANTAN SELATAN,187870
2021,KALIMANTAN SELATAN,208110
2022,KALIMANTAN SELATAN,195700
2023,KALIMANTAN SELATAN,188930
2024,KALIMANTAN SELATAN,183310
2017,KALIMANTAN TENGAH,139160
2018,KALIMANTAN TENGAH,136930
2019,KALIMANTAN TENGAH,134590
2020,KALIMANTAN TENGAH,132940
2021,KALIMANTAN TENGAH,140040
2022,KALIMANTAN TENGAH,145100
2023,KALIMANTAN TENGAH,142170
2024,KALIMANTAN TENGAH,145630
2017,KALIMANTAN TIMUR,220170
2018,KALIMANTAN TIMUR,218900
2019,KALIMANTAN TIMUR,219920
2020,KALIMANTAN TIMUR,230260
2021,KALIMANTAN TIMUR,241770
2022,KALIMANTAN TIMUR,236250
2023,KALIMANTAN TIMUR,231070
2024,KALIMANTAN TIMUR,221340
2017,KALIMANTAN UTARA,49470
2018,KALIMANTAN UTARA,50350
2019,KALIMANTAN UTARA,48780
2020,KALIMANTAN UTARA,51790
2021,KALIMANTAN UTARA,52860
2022,KALIMANTAN UTARA,49460
2023,KALIMANTAN UTARA,47970
2024,KALIMANTAN UTARA,47830
2017,KEP. BANGKA BELITUNG,74090
2018,KEP. BANGKA BELITUNG,76260
2019,KEP. BANGKA BELITUNG,68380
2020,KEP. BANGKA BELITUNG,68390
2021,KEP. BANGKA BELITUNG,72710
2022,KEP. BANGKA BELITUNG,66780
2023,KEP. BANGKA BELITUNG,68690
2024,KEP. BANGKA BELITUNG,69950
2017,KEP. RIAU,125370
2018,KEP. RIAU,131680
2019,KEP. RIAU,128460
2020,KEP. RIAU,131970
2021,KEP. RIAU,144460
2022,KEP. RIAU,151680
2023,KEP. RIAU,142500
2024,KEP. RIAU,138300
2017,LAMPUNG,1131730
2018,LAMPUNG,1097050
2019,LAMPUNG,1063660
2020,LAMPUNG,1049320
2021,LAMPUNG,1083930
2022,LAMPUNG,1002410
2023,LAMPUNG,970670
2024,LAMPUNG,941230
2017,MALUKU,320510
2018,MALUKU,320080
2019,MALUKU,317690
2020,MALUKU,318180
2021,MALUKU,321810
2022,MALUKU,290570
2023,MALUKU,301610
2024,MALUKU,297680
2017,MALUKU UTARA,76470
2018,MALUKU UTARA,81460
2019,MALUKU UTARA,84600
2020,MALUKU UTARA,86370
2021,MALUKU UTARA,87160
2022,MALUKU UTARA,79870
2023,MALUKU UTARA,83800
2024,MALUKU UTARA,83090
2017,NUSA TENGGARA BARAT,793780
2018,NUSA TENGGARA BARAT,737460
2019,NUSA TENGGARA BARAT,735960
2020,NUSA TENGGARA BARAT,713890
2021,NUSA TENGGARA BARAT,746660
2022,NUSA TENGGARA BARAT,731940
2023,NUSA TENGGARA BARAT,751230
2024,NUSA TENGGARA BARAT,709010
2017,NUSA TENGGARA TIMUR,1150790
2018,NUSA TENGGARA TIMUR,1142170
2019,NUSA TENGGARA TIMUR,1146320
2020,NUSA TENGGARA TIMUR,1153760
2021,NUSA TENGGARA TIMUR,1169310
2022,NUSA TENGGARA TIMUR,1131620
2023,NUSA TENGGARA TIMUR,1141110
2024,NUSA TENGGARA TIMUR,1127570
2017,PAPUA,897690
2018,PAPUA,917630
2019,PAPUA,926360
2020,PAPUA,911370
2021,PAPUA,920440
2022,PAPUA,922120
2023,PAPUA,915150
2024,PAPUA,919020
2017,PAPUA BARAT,228380
2018,PAPUA BARAT,214470
2019,PAPUA BARAT,211500
2020,PAPUA BARAT,208580
2021,PAPUA BARAT,219070
2022,PAPUA BARAT,218780
2023,PAPUA BARAT,214980
2024,PAPUA BARAT,212430
2017,RIAU,514620
2018,RIAU,500440
2019,RIAU,490720
2020,RIAU,483390
2021,RIAU,500810
2022,RIAU,485030
2023,RIAU,485660
2024,RIAU,492250
2017,SULAWESI BARAT,149760
2018,SULAWESI BARAT,151780
2019,SULAWESI BARAT,151400
2020,SULAWESI BARAT,152020
2021,SULAWESI BARAT,157190
2022,SULAWESI BARAT,165720
2023,SULAWESI BARAT,164140
2024,SULAWESI BARAT,162190
2017,SULAWESI SELATAN,813070
2018,SULAWESI SELATAN,792630
2019,SULAWESI SELATAN,767800
2020,SULAWESI SELATAN,776830
2021,SULAWESI SELATAN,784980
2022,SULAWESI SELATAN,777440
2023,SULAWESI SELATAN,788850
2024,SULAWESI SELATAN,736480
2017,SULAWESI TENGAH,417870
2018,SULAWESI TENGAH,420210
2019,SULAWESI TENGAH,410360
2020,SULAWESI TENGAH,398730
2021,SULAWESI TENGAH,404440
2022,SULAWESI TENGAH,388350
2023,SULAWESI TENGAH,395660
2024,SULAWESI TENGAH,379760
2017,SULAWESI TENGGARA,331710
2018,SULAWESI TENGGARA,307100
2019,SULAWESI TENGGARA,302580
2020,SULAWESI TENGGARA,301820
2021,SULAWESI TENGGARA,318700
2022,SULAWESI TENGGARA,309790
2023,SULAWESI TENGGARA,321530
2024,SULAWESI TENGGARA,319710
2017,SULAWESI UTARA,198880
2018,SULAWESI UTARA,193310
2019,SULAWESI UTARA,191700
2020,SULAWESI UTARA,192370
2021,SULAWESI UTARA,196350
2022,SULAWESI UTARA,185140
2023,SULAWESI UTARA,189000
2024,SULAWESI UTARA,186850
2017,SUMATERA BARAT,364510
2018,SUMATERA BARAT,357130
2019,SUMATERA BARAT,348220
2020,SUMATERA BARAT,344230
2021,SUMATERA BARAT,370670
2022,SUMATERA BARAT,335210
2023,SUMATERA BARAT,340370
2024,SUMATERA BARAT,345730
2017,SUMATERA SELATAN,1086920
2018,SUMATERA SELATAN,1068270
2019,SUMATERA SELATAN,1073740
2020,SUMATERA SELATAN,1081580
2021,SUMATERA SELATAN,1113760
2022,SUMATERA SELATAN,1044690
2023,SUMATERA SELATAN,1045680
2024,SUMATERA SELATAN,984240
2017,SUMATERA UTARA,1453870
2018,SUMATERA UTARA,1324980
2019,SUMATERA UTARA,1282040
2020,SUMATERA UTARA,1283290
2021,SUMATERA UTARA,1343860
2022,SUMATERA UTARA,1268190
2023,SUMATERA UTARA,1239710
2024,SUMATERA UTARA,1228010
